Index,Time,((Motor_LK[0]).PID_Angle).Target,((Motor_LK[0]).PID_Angle).Measure
265,0.265054,0,0.00170826912
266,0.266059,0,0.00151658058
267,0.267050,0,0.00151658058
268,0.268144,0,0.00132489204
269,0.269050,0,0.00113320351
270,0.270055,0,0.000941514969
271,0.271053,0,0.000749826431
272,0.272056,0,0.000653982162
273,0.273054,0,0.000558137894
274,0.274049,0,0.000366449356
275,0.275055,0,0.000366449356
276,0.276051,0,0.000174760818
277,0.277062,0,0.000174760818
278,0.278052,0,8.10623169e-05
279,0.279056,0,8.10623169e-05
280,0.280050,0,-1.47819519e-05
281,0.281053,0,-0.000110626221
282,0.282051,0,-0.00020647049
283,0.283054,0,-0.000302314758
284,0.284053,0,-0.000302314758
285,0.285056,0,-0.000302314758
286,0.286054,0,-0.000302314758
287,0.287060,0,-0.000302314758
288,0.288051,0,-0.00020647049
289,0.289054,0,-1.47819519e-05
290,0.290056,0,0.0001745224
291,0.291051,0,0.000558137894
292,0.292050,0,0.000941753387
293,0.293053,0,0.00132536888
294,0.294051,0,0.00161290169
295,0.295054,0,0.00170874596
296,0.296052,0,0.00180459023
297,0.297055,0,0.00199627876
298,0.298061,0,0.00209212303
299,0.299052,0,0.0021879673
300,0.300051,0,0.0021879673
301,0.301049,0,0.0021879673
302,0.302052,0,0.0021879673
303,0.303051,0,0.0021879673
304,0.304054,0,0.0021879673
305,0.305053,0,0.0021879673
306,0.306057,0,0.00209212303
307,0.307056,0,0.00190043449
308,0.308065,0,0.00190043449
309,0.309056,0,0.00170874596
310,0.310056,0,0.00161290169
311,0.311055,0,0.00151705742
312,0.312051,0,0.00132536888
313,0.313050,0,0.00113368034
314,0.314054,0,0.000941991806
315,0.315054,0,0.000846147537
316,0.316050,0,0.000750303268
317,0.317050,0,0.000558614731
318,0.318053,0,0.000366926193
319,0.319063,0,0.000366926193
320,0.320050,0,0.000271081924
321,0.321055,0,0.000175237656
322,0.322078,0,0.000175237656
323,0.323058,0,8.15391541e-05
324,0.324055,0,8.15391541e-05
325,0.325054,0,-0.000110149384
326,0.326050,0,-0.000110149384
327,0.327057,0,-0.000301837921
328,0.328053,0,-0.000301837921
329,0.329063,0,-0.000301837921
330,0.330050,0,-0.000301837921
331,0.331054,0,-0.000301837921
332,0.332054,0,-0.000301837921
333,0.333050,0,-0.000205993652
334,0.334050,0,-1.43051147e-05
335,0.335052,0,0.000174999237
336,0.336049,0,0.000558614731
337,0.337052,0,0.000942230225
338,0.338050,0,0.00132584572
339,0.339053,0,0.00161337852
340,0.340062,0,0.00161337852
341,0.341052,0,0.00180506706
342,0.342056,0,0.0019967556
343,0.343054,0,0.0019967556
344,0.344057,0,0.00218844414
345,0.345055,0,0.00218844414
346,0.346050,0,0.00218844414
347,0.347056,0,0.00218844414
348,0.348052,0,0.00218844414
349,0.349050,0,0.00218844414
350,0.350058,0,0.00209259987
351,0.351057,0,0.00209259987
352,0.352052,0,0.00190091133
353,0.353051,0,0.00180506706
354,0.354054,0,0.00170922279
355,0.355052,0,0.00151753426
356,0.356055,0,0.00151753426
357,0.357054,0,0.00132584572
358,0.358057,0,0.00113415718
359,0.359055,0,0.00103831291
360,0.360053,0,0.000942468643
361,0.361062,0,0.000750780106
362,0.362052,0,0.000559091568
363,0.363056,0,0.000463247299
364,0.364055,0,0.00036740303
365,0.365050,0,0.00036740303
366,0.366056,0,0.000175714493
367,0.367051,0,0.000175714493
368,0.368049,0,7.9870224e-05
369,0.369052,0,8.24928284e-05
370,0.370054,0,8.24928284e-05
371,0.371061,0,-0.000109195709
372,0.372053,0,-0.000109195709
373,0.373049,0,-0.000300884247
374,0.374056,0,-0.000300884247
375,0.375052,0,-0.000300884247
376,0.376061,0,-0.000300884247
377,0.377049,0,-0.000300884247
378,0.378056,0,-0.000300884247
379,0.379052,0,-0.000205039978
380,0.380055,0,-1.33514404e-05
381,0.381076,0,0.000175952911
382,0.382063,0,0.000559568405
383,0.383055,0,0.000943183899
384,0.384052,0,0.00132679939
385,0.385051,0,0.0016143322
386,0.386166,0,0.00171017647
387,0.387057,0,0.00180602074
388,0.388054,0,0.00199770927
389,0.389053,0,0.00199770927
390,0.390223,0,0.00218939781
391,0.391055,0,0.00218939781
392,0.392059,0,0.00218939781
393,0.393057,0,0.00218939781
394,0.394049,0,0.00218939781
395,0.395053,0,0.00218939781
396,0.396050,0,0.00209355354
397,0.397049,0,0.00209355354
398,0.398054,0,0.00190186501
399,0.399053,0,0.00180602074
400,0.400052,0,0.00171017647
401,0.401057,0,0.00151848793
402,0.402116,0,0.00151848793
403,0.403053,0,0.00132679939
404,0.404049,0,0.00113511086
405,0.405055,0,0.00113511086
406,0.406050,0,0.000943422318
407,0.407056,0,0.00075173378
408,0.408052,0,0.000655889511
