Index,Time,((Motor_DM_6220[0]).PID_Omega).Target,((Motor_DM_6220[0]).PID_Omega).Measure
31636,31.635857,1.63362563,1.60903549
31637,31.636864,1.62620115,1.58754635
31638,31.637858,1.61877263,1.57142925
31639,31.638864,1.61134005,1.54993916
31640,31.639858,1.60390365,1.53919506
31641,31.640865,1.5964632,1.52845001
31642,31.641859,1.5890187,1.53382206
31643,31.642865,1.58157039,1.53382206
31644,31.643855,1.57411814,1.54456711
31645,31.644862,1.56666207,1.55531216
31646,31.645856,1.55920208,1.56605721
31647,31.646869,1.55173838,1.56605721
31648,31.647868,1.54427063,1.56605721
31649,31.648854,1.53679919,1.55531216
31650,31.649860,1.52932405,1.53919506
31651,31.650854,1.52184498,1.52845001
31652,31.651866,1.51436222,1.51233292
31653,31.652859,1.50687575,1.50695992
31654,31.653867,1.4993856,1.50158787
31655,31.654861,1.49189162,1.50695992
31656,31.655866,1.48439395,1.51233292
31657,31.656860,1.47689271,1.51233292
31658,31.657867,1.46938789,1.51770496
31659,31.658865,1.46187925,1.51233292
31660,31.659858,1.45436716,1.51233292
31661,31.660864,1.44685149,1.50695992
31662,31.661857,1.43933201,1.49084282
31663,31.662863,1.43180943,1.48009872
31664,31.663859,1.42428291,1.46935368
31665,31.664865,1.41675305,1.45860863
31666,31.665858,1.40921962,1.45323658
31667,31.666864,1.40168285,1.44786358
31668,31.667864,1.39414251,1.44786358
31669,31.668937,1.38659859,1.44786358
31670,31.669996,1.37905145,1.44786358
31671,31.670878,1.37150097,1.44786358
31672,31.671918,1.36394691,1.44786358
31673,31.672999,1.35638964,1.43711853
31674,31.673861,1.34882903,1.43174648
31675,31.674931,1.34126496,1.41562939
31676,31.675856,1.33369756,1.40488434
31677,31.676861,1.32612705,1.39414024
31678,31.677855,1.31855309,1.38876724
31679,31.678919,1.31097603,1.3833952
31680,31.679858,1.30339563,1.37802219
31681,31.680864,1.29581201,1.37265015
31682,31.681857,1.28822517,1.35653305
31683,31.682863,1.28063536,1.345788
31684,31.683860,1.2730422,1.32429886
31685,31.684865,1.26544595,1.30818176
31686,31.685859,1.25784647,1.29743671
31687,31.686865,1.25024414,1.27594662
31688,31.687859,1.24263859,1.25982952
31689,31.688866,1.23502982,1.24371243
31690,31.689864,1.22741818,1.23296738
31691,31.690863,1.21980345,1.22759533
31692,31.691858,1.21218574,1.22759533
31693,31.692864,1.20456505,1.22759533
31694,31.693854,1.19694138,1.22759533
31695,31.694860,1.18931472,1.23834038
31696,31.695854,1.18168521,1.23834038
31697,31.696861,1.17405272,1.23834038
31698,31.697855,1.16641736,1.23296738
31699,31.698861,1.15877914,1.22222328
31700,31.699962,1.15113795,1.20073318
31701,31.700859,1.14349401,1.17924309
31702,31.701865,1.13584721,1.15775394
31703,31.702859,1.12819767,1.1308918
31704,31.703869,1.12054527,1.10940266
31705,31.704855,1.11289012,1.09865761
31706,31.705862,1.10523236,1.07716751
31707,31.706856,1.09757173,1.07716751
31708,31.707863,1.08990836,1.07179546
31709,31.708858,1.08224249,1.06642342
31710,31.709864,1.07457376,1.05567837
31711,31.710863,1.0669024,1.05567837
31712,31.711862,1.05922842,1.04493332
31713,31.712857,1.05155194,1.03418827
31714,31.713866,1.04387271,1.02344418
31715,31.714860,1.03619099,1.01269913
31716,31.715867,1.02850676,1.00195408
31717,31.716859,1.0208199,0.985836983
31718,31.717864,1.01313055,0.969719887
31719,31.718857,1.00543869,0.964347839
31720,31.719863,0.997744441,0.94822979
31721,31.720867,0.990047574,0.937485695
31722,31.721868,0.982348382,0.926740646
31723,31.722866,0.974646747,0.926740646
31724,31.723855,0.966942668,0.926740646
31725,31.724861,0.959236264,0.932112694
31726,31.725854,0.951527417,0.942857742
31727,31.726868,0.943816304,0.94822979
31728,31.727861,0.936102808,0.953602791
31729,31.728866,0.928386986,0.953602791
31730,31.729860,0.9206689,0.953602791
31731,31.730865,0.912948549,0.94822979
31732,31.731857,0.905225933,0.942857742
31733,31.732865,0.897501111,0.926740646
31734,31.733866,0.889774024,0.905250549
31735,31.734859,0.882044792,0.883761406
31736,31.735865,0.874313414,0.856899261
31737,31.736858,0.866579771,0.835409164
31738,31.737864,0.858844042,0.813920021
31739,31.738857,0.851106286,0.803174973
31740,31.739863,0.843366325,0.792430878
31741,31.740856,0.835624278,0.781685829
31742,31.741862,0.827880204,0.781685829
31743,31.742879,0.820134044,0.792430878
31744,31.743867,0.812385917,0.797802925
31745,31.744866,0.804635823,0.808547974
31746,31.745859,0.796883643,0.819292068
31747,31.746864,0.789129496,0.830037117
31748,31.747858,0.781373441,0.835409164
31749,31.748864,0.773615539,0.846154213
31750,31.749857,0.76585561,0.851527214
31751,31.750863,0.758093834,0.856899261
31752,31.751857,0.75033015,0.856899261
31753,31.752863,0.742564738,0.851527214
31754,31.753865,0.734797359,0.835409164
31755,31.754864,0.727028251,0.819292068
31756,31.755858,0.719257295,0.803174973
31757,31.756865,0.711484551,0.787057877
31758,31.757859,0.703710079,0.760195732
31759,31.758865,0.695933938,0.738706589
31760,31.759860,0.688155949,0.722589493
31761,31.760866,0.680376351,0.706472397
31762,31.761860,0.672595024,0.695727348
31763,31.762867,0.664812088,0.6849823
31764,31.763865,0.657027483,0.679610252
31765,31.764864,0.649241328,0.674237251
31766,31.765859,0.641453505,0.679610252
31767,31.766865,0.633664131,0.6849823
31768,31.767859,0.625873148,0.695727348
31769,31.768866,0.618080616,0.706472397
31770,31.769860,0.610286593,0.717216492
31771,31.770866,0.602491021,0.717216492
31772,31.771861,0.594694078,0.72796154
31773,31.772867,0.586895585,0.72796154
31774,31.773857,0.579095602,0.722589493
31775,31.774866,0.571294248,0.706472397
31776,31.775865,0.563491464,0.6849823
31777,31.776859,0.555687308,0.668865204
31778,31.777866,0.547881782,0.642003059
31779,31.778860,0.540074885,0.609768867
31780,31.779867,0.532266617,0.577533722
31781,31.780866,0.524457157,0.556044579
31782,31.781864,0.516646266,0.529182434
31783,31.782856,0.508834183,0.50232029
31784,31.783864,0.501020789,0.480831146
31785,31.784862,0.493206233,0.46471405
31786,31.785868,0.485390425,0.443223953
31787,31.786854,0.477573425,0.432478905
31788,31.787868,0.469755232,0.427106857
31789,31.788861,0.461935878,0.427106857
31790,31.789867,0.454115391,0.427106857
31791,31.790860,0.446293771,0.437851906
31792,31.791865,0.438471079,0.437851906
31793,31.792859,0.430647284,0.443223953
31794,31.793867,0.422822416,0.448596954
31795,31.794860,0.414996505,0.453969002
